repo_name,language,created_at,description,watchers,stars,forks,link,topics
Mudlet/Mudlet,C++,2013-12-11T14:04:21Z,"⚔️ A cross-platform, open source, and super fast MUD client with scripting in Lua",784,784,283,https://github.com/Mudlet/Mudlet,['linux']
DOMjudge/domjudge,PHP,2013-09-03T19:33:53Z,DOMjudge programming contest jury system,782,782,265,https://github.com/DOMjudge/domjudge,['linux']
lpereira/hardinfo,C,2008-06-25T15:46:06Z,System profiler and benchmark tool for Linux systems,781,781,131,https://github.com/lpereira/hardinfo,['linux']
abap2xlsx/abap2xlsx,ABAP,2013-12-26T18:09:03Z,Generate your professional Excel spreadsheet from ABAP,755,755,293,https://github.com/abap2xlsx/abap2xlsx,['open-source']
libplctag/libplctag,C,2012-06-05T16:58:40Z,This C library provides a portable and simple API for accessing Allen-Bradley and Modbus PLC data over Ethernet.  ,746,746,240,https://github.com/libplctag/libplctag,['linux']
nextcloud/news-android,Java,2013-05-26T09:54:08Z,📱🗞️ Android client for the Nextcloud news/feed reader app,716,716,257,https://github.com/nextcloud/news-android,['open-source']
ZeroK-RTS/Zero-K,Lua,2013-08-02T06:57:00Z,Open source RTS game running on the Spring/Recoil engine,713,713,218,https://github.com/ZeroK-RTS/Zero-K,['open-source']
unfiltered/unfiltered,Scala,2010-05-19T04:00:57Z,A toolkit for servicing HTTP requests in Scala,708,708,114,https://github.com/unfiltered/unfiltered,['websockets']
uroni/urbackup_backend,C,2012-11-20T20:39:24Z,"UrBackup - Client/Server Open Source Network Backup for Windows, MacOS and Linux",706,706,151,https://github.com/uroni/urbackup_backend,['linux']
tcltk/tcl,C,2011-02-03T22:06:15Z,The Tcl Core. (Mirror of core.tcl-lang.org) ,704,704,198,https://github.com/tcltk/tcl,['linux']
Countly/countly-sdk-android,Java,2012-05-29T21:07:15Z,Countly Product Analytics Android SDK,685,685,295,https://github.com/Countly/countly-sdk-android,['open-source']
wp-cli/php-cli-tools,PHP,2010-03-31T00:53:08Z,A collection of tools to help with PHP command line utilities,678,678,117,https://github.com/wp-cli/php-cli-tools,['cli']
OpenLightingProject/ola,C++,2013-12-16T18:06:52Z,The Open Lighting Architecture - The Travel Adaptor for the Lighting Industry,667,667,208,https://github.com/OpenLightingProject/ola,['cli']
ckormanyos/real-time-cpp,C++,2012-09-23T13:31:08Z,"Source code for the book Real-Time C++, by Christopher Kormanyos",663,663,172,https://github.com/ckormanyos/real-time-cpp,['embedded']
openeducat/openeducat_erp,HTML,2013-05-02T17:02:54Z,Comprehensive Open Source ERP for Educational Institutes,658,658,653,https://github.com/openeducat/openeducat_erp,['open-source']
portabilis/i-educar,PHP,2013-01-31T19:25:31Z,Lançando o maior software livre de educação do Brasil!,631,631,463,https://github.com/portabilis/i-educar,['open-source']
rhash/RHash,C,2011-06-12T00:16:27Z,Great utility for computing hash sums,606,606,121,https://github.com/rhash/RHash,['linux']
libimobiledevice/libirecovery,C,2013-02-13T14:38:54Z,"Library and utility to talk to iBoot/iBSS via USB on Mac OS X, Windows, and Linux",582,582,216,https://github.com/libimobiledevice/libirecovery,['library']
libimobiledevice/libplist,C,2013-02-13T14:30:43Z,A library to handle Apple Property List format in binary or XML,568,568,313,https://github.com/libimobiledevice/libplist,['library']
saleyn/erlexec,C++,2012-09-28T21:43:26Z,Execute and control OS processes from Erlang/OTP,561,561,143,https://github.com/saleyn/erlexec,['linux']
programminghistorian/jekyll,HTML,2013-09-09T17:34:02Z,Jekyll-based static site for The Programming Historian ,527,527,227,https://github.com/programminghistorian/jekyll,['open-source']
OpenChemistry/avogadrolibs,C++,2012-04-28T18:56:52Z,"Avogadro libraries provide 3D rendering, visualization, analysis and data processing useful in computational chemistry, molecular modeling, bioinformatics, materials science, and related areas.",517,517,187,https://github.com/OpenChemistry/avogadrolibs,['open-source']
